"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.8278,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.8813,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.7994,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.7807,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.755,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.655,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.6211,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.5858,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.5353,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-10",102.425,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.1694,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.633,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.1014,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-02",100.7129,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.5453,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.5117,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.6366,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.7169,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.6294,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.323,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-09",99.88152,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-10",99.72234,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-11",99.87247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.2358,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.5872,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.7976,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.988,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.0416,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-05",101.0151,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.7603,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.4192,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.138,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.89211,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.70644,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.72174,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.71916,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.53759,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.37654,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.46114,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.90279,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-05",100.3382,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-06",100.4971,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-07",100.4994,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-08",100.4084,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.3724,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.5233,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.8207,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-12",101.1292,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-01",101.4136,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-02",101.298,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-03",101.1271,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-04",100.9529,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-05",100.8732,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-06",101.0136,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-07",101.127,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-08",101.1018,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.9808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.89,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.9553,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-12",101.0936,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-01",101.0786,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9201,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.6865,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.4946,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.5638,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.8185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.7233,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.1213,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.38956,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.1521,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.54565,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.1329,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.3978,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.3483,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.2146,
